date,open,high,low,close,volume,barCount,average,MACD,MACD_Signal,MACD_Hist,K,D,J,EMA_12,EMA_26,MA_10,MA_20,MA_200,BB_Upper,BB_Middle,BB_Lower
2019-01-16 18:00:00,2605.75,2626.25,2602.5,2615.0,1269348,228133,2618.0,-3.240860015122962,-23.341872907402383,20.10101289227942,92.7543192828178,93.69591866267676,90.8711205230999,2569.8014583390054,2573.0322770828498,2567.875,2520.45,,2843.314351953384,2626.49,2409.6656480466154
2019-01-17 18:00:00,2614.5,2645.5,2596.5,2638.25,1478085,265506,2622.75,2.4602872284576733,-18.181440880230372,20.641728108688046,94.50420390812862,93.72734066933958,96.0579303857067,2580.3320032099277,2577.863219521157,2586.525,2525.7625,,2837.6771361912215,2624.095,2410.512863808778
2019-01-18 18:00:00,2636.75,2677.75,2632.75,2677.0,1680624,288392,2660.75,9.990128661707786,-12.54712697184274,22.537255633550526,95.83390108690715,94.36414142595119,98.77342040881908,2595.204002716093,2585.2066847418123,2601.275,2534.45,,2828.30387173606,2621.305,2414.3061282639396
2019-01-21 18:00:00,2669.25,2673.5,2655.75,2663.25,159790,48828,2662.5,14.678863361129515,-7.101928905248289,21.780792266377805,93.7089920577627,94.68236568426617,91.76224480475574,2605.672617682848,2590.9876710572335,2612.225,2543.225,,2819.065791541514,2618.46,2417.854208458486
2019-01-22 18:00:00,2658.75,2666.25,2616.5,2632.5,1682133,298928,2637.25,15.732101506133858,-2.535122822971859,18.267224329105716,82.82156532930397,90.78815282465796,66.888390338596,2609.7999072701023,2594.0626583863273,2618.5,2553.7875,,2810.903370265001,2615.535,2420.166629734999
2019-01-23 18:00:00,2630.75,2653.75,2612.5,2637.75,1547940,282438,2634.5,16.796808297733605,1.3312634011692337,15.46554489656437,70.94713890142319,82.49256542949664,47.85628584527629,2614.0999215362403,2597.298757765118,2624.1,2568.575,,2806.3900422915294,2613.68,2420.9699577084702
2019-01-24 18:00:00,2635.0,2647.5,2626.0,2637.0,1244403,245289,2637.5,17.379734606847705,4.540957642304928,12.838776964542777,62.77677546328687,72.18182656467137,43.966673260517865,2617.623010530665,2600.2395905232574,2628.35,2577.025,,2801.8658117549335,2611.845,2421.824188245066
2019-01-25 18:00:00,2636.25,2672.5,2634.5,2665.5,1326212,243169,2662.0,19.91188787345436,7.615143688534815,12.296744184919547,71.46370253780321,68.39587230083778,77.59936301173408,2624.988701218255,2605.073694928942,2635.35,2585.8375,,2800.0219932533028,2611.115,2422.208006746697
2019-01-28 18:00:00,2660.0,2663.5,2622.25,2640.75,1366962,251008,2636.75,19.694493562409207,10.031013663309693,9.663479899099514,68.35058036585441,67.53035278898153,69.99103551960019,2627.4135164154463,2607.716384193465,2641.275,2593.475,,2795.0836352762885,2609.25,2423.4163647237115
2019-01-29 18:00:00,2640.25,2650.0,2628.5,2647.25,1214616,235548,2639.5,19.818250229682235,11.988460976584202,7.829789253098033,68.1303692044602,69.3148840360393,65.761339541302,2630.4652831207623,2610.644800179134,2645.425,2600.4,,2789.6138197778196,2607.35,2425.0861802221802
